inventarnummer;wikidata_id
KKShm1976-351;Q20469381
KKShm1976-385;Q20428994
KMS1;Q5966108
KMS1000;Q20501013
KMS1001;Q20355156
KMS1002;Q20416519
KMS1003;Q20433271
KMS1004;Q20355163
KMS1005;Q20427535
KMS1005a;Q20397984
KMS1006;Q20528191
KMS1007;Q20354791
KMS1008;Q20440836
KMS1009;Q20267156
KMS1010;Q20440490
KMS1011;Q20268603
KMS1012;Q20267897
KMS1013;Q20354527
KMS1014;Q20379808
KMS1015;Q20355059
KMS1016;Q20440612
KMS1017;Q20413231
KMS1018;Q20277045
KMS1019;Q20406826
KMS1020;Q20475065
KMS1021;Q20417926
KMS1022;Q20355498
KMS1023;Q20540785
KMS1024;Q20354852
KMS1025;Q20354931
KMS1026;Q20392178
KMS1027;Q20441214
KMS1028;Q20355807
KMS1029;Q20355552
KMS1030;Q48450851
KMS1031;Q20355372
KMS1032;Q20501058
KMS1033;Q20440624
KMS1034;Q20496627
KMS1035;Q20496628
KMS1036;Q20491378
KMS1037;Q20483766
KMS1038;Q20440833
KMS1039;Q20392168
KMS104;Q20540606
KMS1040;Q20354632
KMS1041;Q20539811
KMS1042;Q20382603
KMS1043;Q20379743
KMS1044;Q20496983
KMS1045;Q20268870
KMS1046;Q20477159
KMS1047;Q20278619
KMS1048;Q20468131
KMS1049;Q20354559
KMS1050;Q20535480
KMS1051;Q20423979
KMS1052;Q20440667
KMS1053;Q20425904
KMS1054;Q20392071
KMS1055;Q20355493
KMS1056;Q20275896
KMS1058;Q20426140
KMS1059;Q20355736
KMS1060;Q48451032
KMS1061;Q20391876
KMS1062;Q20267874
KMS1063;Q20268797
KMS1064;Q20277707
KMS1065;Q20539991
KMS1066;Q20539564
KMS1067;Q20475498
KMS1068;Q20440384
KMS1069;Q20278320
KMS1070;Q20354949
KMS1071;Q20440523
KMS1072;Q20276977
KMS1073;Q20400656
KMS1074;Q20354685
KMS1075;Q20275959
KMS1076;Q20539789
KMS1077;Q20441158
KMS1078;Q48450733
KMS1079;Q20379991
KMS1080;Q20354642
KMS1081;Q20468431
KMS1082;Q20427722
KMS1083;Q20441015
KMS1084;Q20355431
KMS1085;Q20268219
KMS1086;Q20536631
KMS1087;Q20435687
KMS1088;Q20492723
KMS1089;Q20354897
KMS1090;Q20379670
KMS1091;Q20438508
KMS1092;Q48449070
KMS1093;Q20440955
KMS1094;Q20379645
KMS1095;Q20406663
KMS1096;Q20275936
KMS1097;Q20379905
KMS1098;Q20268764
KMS1099;Q20355525
KMS11;Q20533856
KMS1105;Q20469263
KMS1106;Q20354348
KMS1107;Q20440358
KMS1108;Q20475870
KMS1109;Q20409448
KMS1110;Q20440925
KMS1111;Q20536560
KMS1112;Q20267869
KMS1113;Q20477048
KMS1114;Q20355825
KMS1115;Q20276640
KMS1116;Q20440576
KMS1117;Q20267795
KMS1118;Q20440956
KMS1119;Q20540109
KMS1120;Q20474481
KMS1121;Q20440544
KMS1122;Q20539168
KMS1123;Q20275902
KMS1124;Q20441163
KMS1125;Q20267196
KMS1126;Q20379655
KMS1127;Q20354674
KMS1128;Q20267543
KMS1129;Q20267696
KMS1130;Q20268133
KMS1134;Q20355397
KMS1135;Q20354489
KMS1136;Q20422097
KMS1138;Q20354189
KMS1139a;Q20440654
KMS1139b;Q20440971
KMS1139c;Q20267787
KMS1139d;Q20277436
KMS1139e;Q20441193
KMS1139f;Q20381022
KMS1139g;Q20354982
KMS1139h;Q20268102
KMS1139i;Q20540866
KMS1139j;Q20380664
KMS114;Q20268676
KMS1140;Q20469666
KMS1141;Q20537831
KMS1142;Q20440737
KMS1143;Q20381867
KMS1144;Q20278418
