inventorynumber;wikidataitem;creator;title;image;url;height;width;mime
KMS6154;Q20491348;[[wikidata:Q4994111]];A Man Smoking His Pipe;https://commons.wikimedia.org/wiki/Special:FilePath/Peter Cramer - A Man Smoking His Pipe - KMS6154 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS6154;3903;2733;image/jpeg
KMS6209;Q20421012;[[wikidata:Q152788]];The Blacksmith;;https://collection.smk.dk/#/en/detail/KMS6209;;;
KMS6998;Q20440738;[[wikidata:Q1781575]];Landskab med en fiskende dreng ved en bæk;https://commons.wikimedia.org/wiki/Special:FilePath/Vilhelm Kyhn - Landskab med en fiskende dreng ved en bæk - KMS6998 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS6998;691;768;image/jpeg
KMS8657;Q20469115;[[wikidata:Q83578]];The Sun is Pissing Me Off;;https://collection.smk.dk/#/en/detail/KMS8657;;;
KMSsp404;Q20268734;None;Portrait of Rembrandt;;https://collection.smk.dk/#/en/detail/KMSsp404;;;
KMSr16;Q20355750;[[wikidata:Q156272]];Landscape with Church Tower;;https://collection.smk.dk/#/en/detail/KMSr16;;;
KMSst217;Q20422092;[[wikidata:Q722323]];A Bowl of Flowers;https://commons.wikimedia.org/wiki/Special:FilePath/Elias van den Broeck - A Bowl of Flowers - KMSst217 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst217;1430;1200;image/jpeg
KMSr23;Q20355046;[[wikidata:Q156272]];The Two Sisters;;https://collection.smk.dk/#/en/detail/KMSr23;;;
KMSsp737;Q20267769;[[wikidata:Q452499]];Portrait of a Man;https://commons.wikimedia.org/wiki/Special:FilePath/Mesteren fra Alkmaar - Portrait of a Man - KMSsp737 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp737;1200;931;image/jpeg
KMS4105;Q106989421;[[wikidata:Q253446]];Fru Brøndum;https://commons.wikimedia.org/wiki/Special:FilePath/Anna Ancher - Fru Brøndum - KMS4105 - 1890.jpg;https://open.smk.dk/artwork/image/KMS4105?q=Anna%20Ancher&page=0;3614;2802;image/jpeg
KMSst21M;Q20354736;None;Ferdinandus, Duke of Brunswick and Lüneburg;;https://collection.smk.dk/#/en/detail/KMSst21M;;;
KMS1751;Q20492290;[[wikidata:Q3107123]];The Virgin and Child;https://commons.wikimedia.org/wiki/Special:FilePath/Giovanni Canavesio - The Virgin and Child - KMS1751 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS1751;768;317;image/jpeg
KMS659;Q20267553;[[wikidata:Q1339790]];Peasant Wedding. The Wedding Dance in the open Air;https://commons.wikimedia.org/wiki/Special:FilePath/Lucas van Valckenborch - Peasant Wedding. The Wedding Dance in the open Air.jpg;https://collection.smk.dk/#/en/detail/KMS659;738;716;image/jpeg
KMS6822;Q20355022;[[wikidata:Q2308298]];Picture Painted in 7 Blue Colours;;https://collection.smk.dk/#/en/detail/KMS6822;;;
KMS3595;Q20440912;[[wikidata:Q21055]];Cathrine Jensen, f. Lorenzen, kunstnerens hustru med turban;https://commons.wikimedia.org/wiki/Special:FilePath/C.A. Jensen - Cathrine Jensen, née Lorenzen, the Artist's Wife Wearing a Turban - Google Art Project.jpg;https://collection.smk.dk/#/en/detail/KMS3595;4786;3717;image/jpeg
KMS8803;Q48449870;[[wikidata:Q12326859]];I LIKE OLDER WOMEN;;https://collection.smk.dk/#/en/detail/KMS8803;;;
KMS6931;Q20436591;[[wikidata:Q18646058]];Moon. Landscape in Unstable Balance;;https://collection.smk.dk/#/en/detail/KMS6931;;;
KMS8590;Q20475960;[[wikidata:Q19828425]];Wood Nation / Border Station;;https://collection.smk.dk/#/en/detail/KMS8590;;;
KMS4580;Q20267166;[[wikidata:Q2761358]];A Beech Wood in May near Iselingen Manor, Zealand;https://commons.wikimedia.org/wiki/Special:FilePath/Bokskog, målning av P C Skovgaard (1817-1875).jpg;https://collection.smk.dk/#/detail/KMS4580;4188;3456;image/jpeg
KMS1663;Q20540929;[[wikidata:Q363823]];Two Russian Ships of the Line Saluting;https://commons.wikimedia.org/wiki/Special:FilePath/Eckersberg, CW - To russiske linjeskibe som saluterer - 1827.jpeg;https://collection.smk.dk/#/en/detail/KMS1663;647;1000;image/jpeg
KMS3636;Q20428015;[[wikidata:Q2199553]];Has it Stopped Raining?;https://commons.wikimedia.org/wiki/Special:FilePath/Er regnen hørt op.jpg;https://collection.smk.dk/#/en/detail/KMS3636;3543;2984;image/jpeg
KMS6719;Q20267184;[[wikidata:Q4977505]];Interior with Seated Figure;;https://collection.smk.dk/#/en/detail/KMS6719;;;
KMS6450;Q20537785;[[wikidata:Q18362130]];The West Side of Kronborg Castle. Squally Weather;;https://collection.smk.dk/#/en/detail/KMS6450;;;
KMSsp883;Q20482368;[[wikidata:Q3360726]];Landskab med en sø;https://commons.wikimedia.org/wiki/Special:FilePath/Erik Pauelsen - Landskab med en sø - KMSsp883 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp883;529;768;image/jpeg
KMSsp234;Q20354595;[[wikidata:Q270658]];Christ blessing little Children. Suffer Little Children to Come unto me;https://commons.wikimedia.org/wiki/Special:FilePath/Jacob Jordaens - Christ blessing little Children. Suffer Little Children to Come unto me - KMSsp234 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp234;732;800;image/jpeg
KMS1542;Q20354158;[[wikidata:Q380706]];Amalienborg Plads;https://commons.wikimedia.org/wiki/Special:FilePath/Hammershøi, Vilhelm - Amalienborg Plads - KMS1542.jpg;http://www.smk.dk/en/explore-the-art/search-smk/#/detail/KMS1542;7116;7087;image/jpeg
KMS6541;Q20388508;[[wikidata:Q5341386]];From Amalfi;;https://collection.smk.dk/#/en/detail/KMS6541;;;
KMS791;Q20355356;[[wikidata:Q820693]];Prospekt af Vordingborg;https://commons.wikimedia.org/wiki/Special:FilePath/Heinrich Grosch - Prospekt af Vordingborg - KMS791 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS791;1024;1357;image/jpeg
KMS774;Q20268089;None;Hollandsk landsby;;https://collection.smk.dk/#/en/detail/KMS774;;;
KMSst307;Q20538834;[[wikidata:Q21009920]];Portrait Group on a Terrace of a Park;https://commons.wikimedia.org/wiki/Special:FilePath/Ignatius van der Beken - Portrait Group on a Terrace of a Park - KMSst307 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst307;601;768;image/jpeg
KMS6418;Q20440562;[[wikidata:Q12332142]];Still Life;;https://collection.smk.dk/#/en/detail/KMS6418;;;
KMS8804;Q48452502;[[wikidata:Q12326859]];I LIKE OLDER WOMEN;;https://collection.smk.dk/#/en/detail/KMS8804;;;
KMS415;Q20267360;[[wikidata:Q3365368]];Landscape near Hammermøllen, North Zealand;https://commons.wikimedia.org/wiki/Special:FilePath/Parti fra Hammermøllen.jpg;https://collection.smk.dk/#/en/detail/KMS415;5500;7078;image/jpeg
KMSsp345;Q20406445;[[wikidata:Q329811]];Landscape;https://commons.wikimedia.org/wiki/Special:FilePath/Abraham Bloemaert - Landscape - KMSsp345 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp345;2366;3189;image/jpeg
KMSsp346;Q20497019;[[wikidata:Q541644]];John the Baptist Preaching in the Forest;https://commons.wikimedia.org/wiki/Special:FilePath/Joachim Anthonisz Wtewael - John the Baptist Preaching in the Forest - KMSsp346 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp346;346;607;image/jpeg
