inventorynumber;wikidataitem;creator;title;image;url;height;width;mime
KMS7363;Q20440610;[[wikidata:Q18362130]];Rhododendron and Magnolia in Bloom;;https://collection.smk.dk/#/en/detail/KMS7363;;;
KMS6983;Q20458820;[[wikidata:Q4993706]];Portrait of Yrsa in a Pink Dress;;https://collection.smk.dk/#/en/detail/KMS6983;;;
KMS1425;Q20355160;None;Voxpoussereren Simon;;https://collection.smk.dk/#/en/detail/KMS1425;;;
KMS1904;Q20423772;[[wikidata:Q3034745]];A Girl with Beetroots in a Basket;https://commons.wikimedia.org/wiki/Special:FilePath/Domenico Maggiotto - A Girl with Beetroots in a Basket - KMS1904 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS1904;768;642;image/jpeg
KMSst306;Q20540458;[[wikidata:Q763488]];Departing Army;https://commons.wikimedia.org/wiki/Special:FilePath/August Querfurt - Departing Army - KMSst306 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst306;554;768;image/jpeg
KMS350;Q20477511;[[wikidata:Q12305207]];Blomster i en trefodet vase og en skål med kirsebær;https://commons.wikimedia.org/wiki/Special:FilePath/Carl Christian Seydewitz - Blomster i en trefodet vase og en skål med kirsebær - KMS350 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS350;768;587;image/jpeg
KMSsp648;Q20354467;[[wikidata:Q656776]];Saint Jerome;https://commons.wikimedia.org/wiki/Special:FilePath/Jan Adriaensz van Staveren - Saint Jerome - KMSsp648 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp648;768;608;image/jpeg
KMS1214;Q20550058;[[wikidata:Q2761358]];Amalie Elisabeth Freund, f. von Würden. Billedhuggeren H. E. Freunds hustru;;https://collection.smk.dk/#/en/detail/KMS1214;;;
KMSst245;Q20440486;None;Old Lady Inspecting a Boy's Linen;;https://collection.smk.dk/#/en/detail/KMSst245;;;
KMS8542;Q20440663;[[wikidata:Q3373273]];Opdeling;;https://collection.smk.dk/#/en/detail/KMS8542;;;
KMS6935;Q20539365;[[wikidata:Q2761358]];Engene ved Dortheaslyst;https://commons.wikimedia.org/wiki/Special:FilePath/P.C. Skovgaard - Engene ved Dortheaslyst - KMS6935 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS6935;2571;5906;image/jpeg
KMSsp333;Q20553713;[[wikidata:Q271676]];Landscape;https://commons.wikimedia.org/wiki/Special:FilePath/Carle Le Brun - Landscape - KMSsp333 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp333;569;768;image/jpeg
KMS889;Q20440937;[[wikidata:Q22970792]];Christian II;https://commons.wikimedia.org/wiki/Special:FilePath/Poul Hagelstein - Christian II - KMS889 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS889;800;591;image/jpeg
KMSsp846;Q20440878;[[wikidata:Q1309780]];The Court Jester Otto Kyhl;https://commons.wikimedia.org/wiki/Special:FilePath/Johann Salomon Wahl - The Court Jester Otto Kyhl - KMSsp846 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp846;561;454;image/jpeg
KMS3762;Q20532386;[[wikidata:Q5341386]];Still Life with Oranges;https://commons.wikimedia.org/wiki/Special:FilePath/Opstilling med appelsiner.jpg;https://collection.smk.dk/#/en/detail/KMS3762;3527;3541;image/jpeg
KMS1211;Q20270973;[[wikidata:Q490709]];Tøvejr i en bøgeskov;https://commons.wikimedia.org/wiki/Special:FilePath/Anders Andersen-Lundby,Tøvejr i en bøgeskov, 1881, KMS1211, Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS1211;4267;7208;image/jpeg
KMS3712;Q20482831;[[wikidata:Q649390]];Portræt af kgl. hofapoteker Johann Gottfried Becker;https://commons.wikimedia.org/wiki/Special:FilePath/C.G. Pilo - Portræt af kgl. hofapoteker Johann Gottfried Becker - KMS3712 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3712;1567;1230;image/jpeg
KMSst330;Q20267456;[[wikidata:Q314548]];Young Woman with a Candlestick, Old Woman and a Violin Player;https://commons.wikimedia.org/wiki/Special:FilePath/Honthorst - Schalcken - Ung pige med lysestage, gammel kone, samt violinspiller, KMSst330.jpg;https://collection.smk.dk/#/en/detail/KMSst330;2924;3780;image/jpeg
KMS7193;Q20466926;[[wikidata:Q966116]];People and Animals in a Landscape;;https://collection.smk.dk/#/en/detail/KMS7193;;;
KMS7532;Q20533696;[[wikidata:Q467462]];Prediction of Venice;;https://collection.smk.dk/#/en/detail/KMS7532;;;
KMS1285;Q20355136;[[wikidata:Q12307819]];En tjenestepige viser sin kærestes portræt til en grønthandlerske;;https://collection.smk.dk/#/en/detail/KMS1285;;;
