?item	?itemLabel	?kid	?commons_skab	?commonscat	?article
<http://www.wikidata.org/entity/Q352864>	"Pieter Lastman"@da	"713"	"Pieter Lastman"	"Pieter Lastman"	<https://commons.wikimedia.org/wiki/Category:Pieter_Lastman>
<http://www.wikidata.org/entity/Q353196>	"Harald Jerichau"@da	"556"	"Harald Jerichau"	"Harald Jerichau"	<https://commons.wikimedia.org/wiki/Category:Harald_Jerichau>
<http://www.wikidata.org/entity/Q160141>	"Chaïm Soutine"@da	"1839"	"Chaïm Soutine"	"Chaïm Soutine"	<https://commons.wikimedia.org/wiki/Category:Cha%C3%AFm_Soutine>
<http://www.wikidata.org/entity/Q939699>	"Vincent Sellaer"@da		"Vincent Sellaer"	"Vincent Sellaer"	<https://commons.wikimedia.org/wiki/Category:Vincent_Sellaer>
<http://www.wikidata.org/entity/Q944834>	"Jan III Vermeer"@da	"12306"	"Jan Vermeer van Haarlem (II)"	"Jan Vermeer van Haarlem (II)"	<https://commons.wikimedia.org/wiki/Jan_Vermeer_van_Haarlem_(II)>
<http://www.wikidata.org/entity/Q944834>	"Jan III Vermeer"@da	"786"	"Jan Vermeer van Haarlem (II)"	"Jan Vermeer van Haarlem (II)"	<https://commons.wikimedia.org/wiki/Jan_Vermeer_van_Haarlem_(II)>
<http://www.wikidata.org/entity/Q947790>	"Tyko Sallinen"@da	"1712"		"Tyko Sallinen"	<https://commons.wikimedia.org/wiki/Category:Tyko_Sallinen>
<http://www.wikidata.org/entity/Q949627>	"Matthias Stom"@da	"1850"	"Matthias Stom"	"Matthias Stom"	<https://commons.wikimedia.org/wiki/Matthias_Stom>
<http://www.wikidata.org/entity/Q951884>	"Gerard Seghers"@da	"1819"	"Gerard Seghers"	"Gerard Seghers"	<https://commons.wikimedia.org/wiki/Category:Gerard_Seghers>
<http://www.wikidata.org/entity/Q955671>	"Cornelius Norbertus Gijsbrechts"@da	"2473"	"Cornelis Norbertus Gijsbrechts"	"Cornelis Norbertus Gijsbrechts"	<https://commons.wikimedia.org/wiki/Category:Cornelis_Norbertus_Gijsbrechts>
<http://www.wikidata.org/entity/Q955815>	"Govert Dircksz Camphuysen"@da	"5939"	"Govert Camphuysen"	"Govert Camphuysen"	<https://commons.wikimedia.org/wiki/Category:Govert_Camphuysen>
<http://www.wikidata.org/entity/Q957766>	"Abraham Cuylenborch"@da	"1496"	"Abraham van Cuylenborch"	"Abraham van Cuylenborch"	<https://commons.wikimedia.org/wiki/Category:Abraham_van_Cuylenborch>
<http://www.wikidata.org/entity/Q959236>	"Frans van Mieris den ældre"@da	"805"	"Frans van Mieris (I)"	"Frans van Mieris (I)"	<https://commons.wikimedia.org/wiki/Category:Frans_van_Mieris_(I)>
<http://www.wikidata.org/entity/Q701078>	"Robert Jacobsen"@da	"1067"		"Robert Jacobsen"	<https://commons.wikimedia.org/wiki/Category:Robert_Jacobsen>
<http://www.wikidata.org/entity/Q701669>	"Hans Gude"@da	"311"	"Hans Gude"	"Hans Gude"	<https://commons.wikimedia.org/wiki/Category:Hans_Gude>
<http://www.wikidata.org/entity/Q704585>	"Johan Barthold Jongkind"@da	"1311"	"Johan Barthold Jongkind"	"Johan Barthold Jongkind"	<https://commons.wikimedia.org/wiki/Johan_Barthold_Jongkind>
<http://www.wikidata.org/entity/Q705079>	"Francesco Bassano"@da	"2608"	"Francesco Bassano (II)"	"Francesco Bassano the Younger"	<https://commons.wikimedia.org/wiki/Category:Francesco_Bassano_the_Younger>
<http://www.wikidata.org/entity/Q705981>	"Frans van Mieris den yngre"@da	"806"	"Frans van Mieris (II)"	"Frans van Mieris (II)"	<https://commons.wikimedia.org/wiki/Category:Frans_van_Mieris_(II)>
<http://www.wikidata.org/entity/Q577598>	"Pieter Post"@da	"1620"	"Pieter Post"	"Pieter Post"	<https://commons.wikimedia.org/wiki/Category:Pieter_Post>
<http://www.wikidata.org/entity/Q577842>	"Pieter Claesz. Soutman"@da	"1840"	"Pieter Claesz. Soutman"	"Pieter Claesz. Soutman"	<https://commons.wikimedia.org/wiki/Category:Pieter_Claesz._Soutman>
<http://www.wikidata.org/entity/Q578120>	"Cornelis Vroom"@da	"1945"	"Cornelis Hendriksz. Vroom"	"Cornelis Hendriksz. Vroom"	<https://commons.wikimedia.org/wiki/Category:Cornelis_Hendriksz._Vroom>
<http://www.wikidata.org/entity/Q578224>	"Jacob Willemsz. De Wet"@da	"1957"	"Jacob de Wet (I)"	"Jacob de Wet (I)"	<https://commons.wikimedia.org/wiki/Category:Jacob_de_Wet_(I)>
<http://www.wikidata.org/entity/Q579698>	"Giuseppe Zais"@da	"1971"	"Giuseppe Zais"	"Giuseppe Zais"	<https://commons.wikimedia.org/wiki/Category:Giuseppe_Zais>
<http://www.wikidata.org/entity/Q581361>	"Jens Juel"@da	"975"	"Jens Juel"	"Jens Juel"	<https://commons.wikimedia.org/wiki/Category:Jens_Juel>
<http://www.wikidata.org/entity/Q585323>	"Franz von Lenbach"@da	"727"	"Franz von Lenbach"	"Franz von Lenbach"	<https://commons.wikimedia.org/wiki/Franz_von_Lenbach>
<http://www.wikidata.org/entity/Q960581>	"Francesco Vanni"@da	"1891"	"Francesco Vanni"	"Francesco Vanni"	<https://commons.wikimedia.org/wiki/Francesco_Vanni>
<http://www.wikidata.org/entity/Q961329>	"Giovan Gioseffo Dal Sole"@da	"34301"	"Giovan Gioseffo dal Sole"	"Giovan Gioseffo Dal Sole"	<https://commons.wikimedia.org/wiki/Category:Giovan_Gioseffo_Dal_Sole>
<http://www.wikidata.org/entity/Q964357>	"Cornelis Engebrechtsz."@da	"1542"	"Cornelis Engebrechtsz."	"Cornelis Engebrechtsz."	<https://commons.wikimedia.org/wiki/Category:Cornelis_Engebrechtsz.>
<http://www.wikidata.org/entity/Q966116>	"Carl-Henning Pedersen"@da	"866"		"Carl-Henning Pedersen"	<https://commons.wikimedia.org/wiki/Category:Carl-Henning_Pedersen>
<http://www.wikidata.org/entity/Q968357>	"Jean-Joseph Benjamin-Constant"@da		"Benjamin-Constant"	"Benjamin-Constant"	<https://commons.wikimedia.org/wiki/Category:Benjamin-Constant>
<http://www.wikidata.org/entity/Q970752>	"Pieter de Neyn"@da	"849"	"Pieter de Neyn"	"Pieter de Neyn"	<https://commons.wikimedia.org/wiki/Category:Pieter_de_Neyn>
<http://www.wikidata.org/entity/Q1027392>	"Thorvald Erichsen"@da	"1644"	"Thorvald Erichsen"	"Thorvald Erichsen"	<https://commons.wikimedia.org/wiki/Category:Thorvald_Erichsen>
<http://www.wikidata.org/entity/Q1029143>	"Jacob Cornelisz. van Oostsanen"@da	"1447"	"Jacob Cornelisz. van Oostsanen"	"Jacob Cornelisz. van Oostsanen"	<https://commons.wikimedia.org/wiki/Category:Jacob_Cornelisz._van_Oostsanen>
<http://www.wikidata.org/entity/Q1032847>	"Pieter van Mol"@da	"815"	"Peter van Mol"	"Peter van Mol"	<https://commons.wikimedia.org/wiki/Category:Peter_van_Mol>
<http://www.wikidata.org/entity/Q1036745>	"Cark Andreas August Goos"@da	"515"	"Carl Andreas August Goos"	"Carl Andreas August Goos"	<https://commons.wikimedia.org/wiki/Category:Carl_Andreas_August_Goos>
<http://www.wikidata.org/entity/Q1037081>	"Carl Bille"@da	"229"	"Carl Bille"	"Carl Bille"	<https://commons.wikimedia.org/wiki/Category:Carl_Bille>
<http://www.wikidata.org/entity/Q1038254>	"Carl Georg Scheuermann"@da	"615"	"Carl Georg Scheuermann"	"Carl Georg Scheuermann"	<https://commons.wikimedia.org/wiki/Category:Carl_Georg_Scheuermann>
<http://www.wikidata.org/entity/Q1063382>	"Charles-François-Prosper Guérin"@da	"2741"	"Charles François Prosper Guérin"	"Charles François Prosper Guérin"	<https://commons.wikimedia.org/wiki/Category:Charles_Fran%C3%A7ois_Prosper_Gu%C3%A9rin>
<http://www.wikidata.org/entity/Q1063557>	"Charles-Alphonse Du Fresnoy"@da	"1527"	"Charles-Alphonse Dufresnoy"	"Charles-Alphonse Dufresnoy"	<https://commons.wikimedia.org/wiki/Category:Charles-Alphonse_Dufresnoy>
<http://www.wikidata.org/entity/Q1063574>	"Charles Angrand"@da	"1246"	"Charles Théophile Angrand"	"Charles Théophile Angrand"	<https://commons.wikimedia.org/wiki/Category:Charles_Th%C3%A9ophile_Angrand>
<http://www.wikidata.org/entity/Q1065281>	"Charles Lapicque"@da	"712"		"Charles Lapicque"	<https://commons.wikimedia.org/wiki/Category:Charles_Lapicque>
<http://www.wikidata.org/entity/Q316597>	"Wilhelm von Bemmel"@da	"1357"	"Willem van Bemmel"	"Willem van Bemmel"	<https://commons.wikimedia.org/wiki/Category:Willem_van_Bemmel>
<http://www.wikidata.org/entity/Q316731>	"Federico Barocci"@da	"1251"	"Federico Barocci"	"Federico Barocci"	<https://commons.wikimedia.org/wiki/Federico_Barocci>
<http://www.wikidata.org/entity/Q317230>	"Jan Verkade"@da	"19267"	"Jan Verkade"	"Jan Verkade"	<https://commons.wikimedia.org/wiki/Category:Jan_Verkade>
<http://www.wikidata.org/entity/Q318769>	"Francesco Guardi"@da	"2484"	"Francesco Guardi"	"Francesco Guardi"	<https://commons.wikimedia.org/wiki/Francesco_Guardi>
<http://www.wikidata.org/entity/Q632846>	"Nicolaes Eliasz. Pickenoy"@da	"1537"	"Nicolaes Eliasz. Pickenoy"	"Nicolaes Eliasz. Pickenoy"	<https://commons.wikimedia.org/wiki/Category:Nicolaes_Eliasz._Pickenoy>
<http://www.wikidata.org/entity/Q633742>	"Michele Desubleo"@da	"2048"	"Michele Desubleo"	"Michele Desubleo"	<https://commons.wikimedia.org/wiki/Category:Michele_Desubleo>
<http://www.wikidata.org/entity/Q633763>	"Gian Francesco de' Maineri"@da	"2802"	"Gian Francesco de' Maineri"	"Gian Francesco de' Maineri"	<https://commons.wikimedia.org/wiki/Category:Gian_Francesco_de%27_Maineri>
<http://www.wikidata.org/entity/Q636727>	"Wybrand Simonsz. de, the elder Geest"@da	"2469"	"Wybrand de Geest"	"Wybrand de Geest"	<https://commons.wikimedia.org/wiki/Category:Wybrand_de_Geest>
<http://www.wikidata.org/entity/Q642071>	"Hendrik van, I Balen"@da	"1337"	"Hendrick van Balen (I)"	"Hendrick van Balen (I)"	<https://commons.wikimedia.org/wiki/Category:Hendrick_van_Balen_(I)>
<http://www.wikidata.org/entity/Q643123>	"C.F. Aagaard"@da	"1147"	"Carl Frederik Aagaard"	"Carl Frederik Aagaard"	<https://commons.wikimedia.org/wiki/Category:Carl_Frederik_Aagaard>
<http://www.wikidata.org/entity/Q649390>	"Carl Gustaf Pilo"@da	"657"	"Carl Gustaf Pilo"	"Carl Gustav Pilo"	<https://commons.wikimedia.org/wiki/Category:Carl_Gustav_Pilo>
<http://www.wikidata.org/entity/Q651521>	"Abraham Govaerts"@da	"2480"	"Abraham Govaerts"	"Abraham Govaerts"	<https://commons.wikimedia.org/wiki/Category:Abraham_Govaerts>
<http://www.wikidata.org/entity/Q983353>	"C.F. Sørensen"@da	"626"	"Carl Frederik Sørensen"	"Carl Frederik Sørensen"	<https://commons.wikimedia.org/wiki/Category:Carl_Frederik_S%C3%B8rensen>
<http://www.wikidata.org/entity/Q984173>	"Jacob van Swanenburg"@da	"1856"	"Jacob Isaacsz. van Swanenburg"	"Jacob Isaacsz. van Swanenburg"	<https://commons.wikimedia.org/wiki/Category:Jacob_Isaacsz._van_Swanenburg>
<http://www.wikidata.org/entity/Q986441>	"Benoît Le Coffre"@da	"574"	"Benoît Le Coffre"	"Benoît Le Coffre"	<https://commons.wikimedia.org/wiki/Category:Beno%C3%AEt_Le_Coffre>
<http://www.wikidata.org/entity/Q986954>	"Jacques d'Agar"@da	"1586"	"Jacob d'Agar"	"Jacob d'Agar"	<https://commons.wikimedia.org/wiki/Category:Jacob_d%27Agar>
<http://www.wikidata.org/entity/Q988828>	"Moses van Uyttenbroeck"@da	"1883"	"Moyses van Wtenbrouck"	"Moyses van Wtenbrouck"	<https://commons.wikimedia.org/wiki/Category:Moyses_van_Wtenbrouck>
<http://www.wikidata.org/entity/Q993130>	"Bruno Cassinari"@da	"1420"	"Bruno Cassinari"	"Bruno Cassinari"	<https://commons.wikimedia.org/wiki/Category:Bruno_Cassinari>
<http://www.wikidata.org/entity/Q999233>	"Hans Bol"@da	"1378"	"Hans Bol"	"Hans Bol"	<https://commons.wikimedia.org/wiki/Category:Hans_Bol>
<http://www.wikidata.org/entity/Q1009816>	"Gerhard Munthe"@da	"1694"	"Gerhard Munthe"	"Gerhard Munthe"	<https://commons.wikimedia.org/wiki/Category:Gerhard_Munthe>
<http://www.wikidata.org/entity/Q334200>	"Christian Krohg"@da	"21492"	"Christian Krohg"	"Christian Krohg"	<https://commons.wikimedia.org/wiki/Category:Christian_Krohg>
<http://www.wikidata.org/entity/Q334200>	"Christian Krohg"@da	"1678"	"Christian Krohg"	"Christian Krohg"	<https://commons.wikimedia.org/wiki/Category:Christian_Krohg>
<http://www.wikidata.org/entity/Q323971>	"Nicolas Neufchatel"@da	"1567"	"Nicolas Neufchâtel"	"Nicolas Neufchâtel"	<https://commons.wikimedia.org/wiki/Category:Nicolas_Neufch%C3%A2tel>
<http://www.wikidata.org/entity/Q324280>	"Pieter Hermansz. Verelst"@da	"1909"	"Pieter Harmensz. Verelst"	"Pieter Harmensz. Verelst"	<https://commons.wikimedia.org/wiki/Category:Pieter_Harmensz._Verelst>
<http://www.wikidata.org/entity/Q324288>	"Jan van Huchtenburgh"@da	"663"	"Jan van Huchtenburg"	"Jan van Huchtenburg"	<https://commons.wikimedia.org/wiki/Category:Jan_van_Huchtenburg>
<http://www.wikidata.org/entity/Q325557>	"Simon Kick"@da	"681"	"Simon Kick"	"Simon Kick"	<https://commons.wikimedia.org/wiki/Category:Simon_Kick>
<http://www.wikidata.org/entity/Q326548>	"Pieter Aertsen"@da	"1315"	"Pieter Aertsen"	"Pieter Aertsen"	<https://commons.wikimedia.org/wiki/Pieter_Aertsen>
<http://www.wikidata.org/entity/Q327364>	"Jacques Fouquières"@da	"34304"	"Jacques Fouquier"	"Jacques Fouquier"	<https://commons.wikimedia.org/wiki/Category:Jacques_Fouquier>
<http://www.wikidata.org/entity/Q327758>	"Prins Eugen af Sverige"@da	"1646"	"Prins Eugen"	"Prince Eugén, Duke of Närke"	<https://commons.wikimedia.org/wiki/Category:Prince_Eug%C3%A9n,_Duke_of_N%C3%A4rke>
<http://www.wikidata.org/entity/Q167654>	"Frans Hals"@da	"2489"	"Frans Hals"	"Frans Hals"	<https://commons.wikimedia.org/wiki/Frans_Hals>
<http://www.wikidata.org/entity/Q170339>	"Lucas Cranach den yngre"@da	"2045"	"Lucas Cranach (II)"	"Lucas Cranach the Younger"	<https://commons.wikimedia.org/wiki/Lucas_Cranach_(II)>
<http://www.wikidata.org/entity/Q506483>	"Sebastiano Ricci"@da	"1759"	"Sebastiano Ricci"	"Sebastiano Ricci"	<https://commons.wikimedia.org/wiki/Sebastiano_Ricci>
<http://www.wikidata.org/entity/Q510472>	"Andries Both"@da	"1384"	"Andries Both"	"Andries Both"	<https://commons.wikimedia.org/wiki/Category:Andries_Both>
<http://www.wikidata.org/entity/Q512817>	"Pieter de Grebber"@da	"2481"	"Pieter Fransz. de Grebber"	"Pieter Fransz. de Grebber"	<https://commons.wikimedia.org/wiki/Category:Pieter_Fransz._de_Grebber>
<http://www.wikidata.org/entity/Q514074>	"Jan Wijnants"@da	"1961"	"Jan Wijnants"	"Jan Wijnants"	<https://commons.wikimedia.org/wiki/Category:Jan_Wijnants>
<http://www.wikidata.org/entity/Q514276>	"Arnold Houbraken"@da	"659"	"Arnold Houbraken"	"Arnold Houbraken"	<https://commons.wikimedia.org/wiki/Category:Arnold_Houbraken>
<http://www.wikidata.org/entity/Q160538>	"Giovanni Lorenzo Bernini"@da	"1264"	"Gianlorenzo Bernini"	"Gianlorenzo Bernini"	<https://commons.wikimedia.org/wiki/Gian_Lorenzo_Bernini>
<http://www.wikidata.org/entity/Q161143>	"Karl Schmidt-Rottluff"@da	"1808"		"Karl Schmidt-Rottluff"	<https://commons.wikimedia.org/wiki/Category:Karl_Schmidt-Rottluff>
<http://www.wikidata.org/entity/Q164775>	"Georg Baselitz"@da	"2077"		"Georg Baselitz"	<https://commons.wikimedia.org/wiki/Category:Georg_Baselitz>
<http://www.wikidata.org/entity/Q166379>	"Philips Koninck"@da	"694"	"Philips Koninck"	"Philips Koninck"	<https://commons.wikimedia.org/wiki/Category:Philips_Koninck>
<http://www.wikidata.org/entity/Q166585>	"Philipp Otto Runge"@da	"1788"	"Philipp Otto Runge"	"Philipp Otto Runge"	<https://commons.wikimedia.org/wiki/Philipp_Otto_Runge>
<http://www.wikidata.org/entity/Q152793>	"Karel Appel"@da	"343"	"Karel Appel"	"Karel Appel"	<https://commons.wikimedia.org/wiki/Category:Karel_Appel>
<http://www.wikidata.org/entity/Q153472>	"Joos van Cleve"@da	"1434"	"Joos van Cleve"	"Joos van Cleve"	<https://commons.wikimedia.org/wiki/Category:Joos_van_Cleve>
<http://www.wikidata.org/entity/Q154448>	"Victor Vasarely"@da	"1153"		"Victor Vasarely"	<https://commons.wikimedia.org/wiki/Victor_Vasarely>
<http://www.wikidata.org/entity/Q1284751>	"Jacob Duck"@da	"1525"	"Jacob Duck"	"Jacob Duck"	<https://commons.wikimedia.org/wiki/Category:Jacob_Duck>
<http://www.wikidata.org/entity/Q1289249>	"Valentin Ruths"@da	"1789"	"Valentin Ruths"	"Valentin Ruths"	<https://commons.wikimedia.org/wiki/Category:Valentin_Ruths>
<http://www.wikidata.org/entity/Q1290893>	"Gösta von Hennigs"@da	"1659"	"Gösta von Hennigs"	"Gösta von Hennigs"	<https://commons.wikimedia.org/wiki/Category:G%C3%B6sta_von_Hennigs>
<http://www.wikidata.org/entity/Q1296941>	"Egbert van der Poel"@da	"1612"	"Egbert van der Poel"	"Egbert van der Poel"	<https://commons.wikimedia.org/wiki/Category:Egbert_van_der_Poel>
<http://www.wikidata.org/entity/Q1305835>	"Einar Forseth"@da	"1653"		"Einar Forseth"	<https://commons.wikimedia.org/wiki/Category:Einar_Forseth>
<http://www.wikidata.org/entity/Q1307881>	"François Verwilt"@da	"1923"	"François Verwilt"	"François Verwilt"	<https://commons.wikimedia.org/wiki/Category:Fran%C3%A7ois_Verwilt>
<http://www.wikidata.org/entity/Q1309780>	"Johann Salomon Wahl"@da	"640"	"Johann Salomon Wahl"	"Johann Salomon Wahl"	<https://commons.wikimedia.org/wiki/Category:Johann_Salomon_Wahl>
<http://www.wikidata.org/entity/Q1333792>	"Girolamo Muziano"@da	"838"	"Girolamo Muziano"	"Girolamo Muziano"	<https://commons.wikimedia.org/wiki/Category:Girolamo_Muziano>
<http://www.wikidata.org/entity/Q1336619>	"Reinier de La Haye"@da	"705"	"Reinier de la Haye"	"Reinier de la Haye"	<https://commons.wikimedia.org/wiki/Category:Reinier_de_la_Haye>
<http://www.wikidata.org/entity/Q1337020>	"Emil Wolff"@da	"4275"	"Emil Wolff"	"Emil Wolff"	<https://commons.wikimedia.org/wiki/Category:Emil_Wolff>
<http://www.wikidata.org/entity/Q1337275>	"Valentin de Boulogne"@da	"1889"	"Valentin de Boulogne"	"Valentin de Boulogne"	<https://commons.wikimedia.org/wiki/Category:Valentin_de_Boulogne>
<http://www.wikidata.org/entity/Q1338170>	"Erik Henningsen"@da	"22370"	"Erik Henningsen"	"Erik Henningsen"	<https://commons.wikimedia.org/wiki/Category:Erik_Henningsen>
<http://www.wikidata.org/entity/Q1338170>	"Erik Henningsen"@da	"424"	"Erik Henningsen"	"Erik Henningsen"	<https://commons.wikimedia.org/wiki/Category:Erik_Henningsen>
<http://www.wikidata.org/entity/Q315102>	"Alexander Roslin"@da	"1709"	"Alexander Roslin"	"Alexander Roslin"	<https://commons.wikimedia.org/wiki/Category:Alexander_Roslin>
<http://www.wikidata.org/entity/Q315819>	"Claude Joseph Vernet"@da	"1918"	"Joseph Vernet"	"Joseph Vernet"	<https://commons.wikimedia.org/wiki/Claude_Vernet>
<http://www.wikidata.org/entity/Q315996>	"Jan van Goyen"@da	"2478"	"Jan van Goyen"	"Jan van Goyen"	<https://commons.wikimedia.org/wiki/Category:Jan_van_Goyen>
<http://www.wikidata.org/entity/Q515222>	"Frédéric De Moucheron"@da	"834"	"Frederik de Moucheron"	"Frederik de Moucheron"	<https://commons.wikimedia.org/wiki/Category:Frederik_de_Moucheron>
<http://www.wikidata.org/entity/Q515553>	"Jan van, I Kessel"@da	"680"	"Jan van Kessel (I)"	"Jan van Kessel (I)"	<https://commons.wikimedia.org/wiki/Category:Jan_van_Kessel_(I)>
<http://www.wikidata.org/entity/Q516941>	"Alessandro Magnasco"@da	"761"	"Alessandro Magnasco"	"Alessandro Magnasco"	<https://commons.wikimedia.org/wiki/Category:Alessandro_Magnasco>
<http://www.wikidata.org/entity/Q518406>	"André Dunoyer de Segonzac"@da	"1820"	"André Dunoyer de Segonzac"	"André Dunoyer de Segonzac"	<https://commons.wikimedia.org/wiki/Category:Andr%C3%A9_Dunoyer_de_Segonzac>
<http://www.wikidata.org/entity/Q518444>	"Roger Bissière"@da	"1364"		"Roger Bissière"	<https://commons.wikimedia.org/wiki/Category:Roger_Bissi%C3%A8re>
<http://www.wikidata.org/entity/Q520573>	"Giovanni Battista Gaulli"@da	"5919"	"Giovanni Battista Gaulli"	"Baciccio"	<https://commons.wikimedia.org/wiki/Category:Baciccio>
<http://www.wikidata.org/entity/Q28049250>	"Christian Rudolph Vogelsang"@da	"636"	"Christian Rudolph Vogelsang"	"Christian Rudolph Vogelsang"	<https://commons.wikimedia.org/wiki/Category:Christian_Rudolph_Vogelsang>
<http://www.wikidata.org/entity/Q28049251>	"Christian Thørrestrup"@da	"1219"	"Christian Thørrestrup"	"Christian Thørrestrup"	<https://commons.wikimedia.org/wiki/Category:Christian_Th%C3%B8rrestrup>
<http://www.wikidata.org/entity/Q28049248>	"Charles Pierre Verhulst"@da	"1911"	"Charles Pièrre Verhulst"	"Charles Pièrre Verhulst"	<https://commons.wikimedia.org/wiki/Category:Charles_Pi%C3%A8rre_Verhulst>
<http://www.wikidata.org/entity/Q28049260>	"Emmy Thornam"@da	"914"	"Emmy Thornam"	"Emmy Thornam"	<https://commons.wikimedia.org/wiki/Category:Emmy_Thornam>
<http://www.wikidata.org/entity/Q28049279>	"Magnus Jørgensen"@da	"560"			<https://commons.wikimedia.org/wiki/Category:Magnus_J%C3%B8rgensen>
<http://www.wikidata.org/entity/Q28049287>	"Peter Brünniche"@da	"473"	"Peter Brünniche"		<https://commons.wikimedia.org/wiki/Category:Peter_Br%C3%BCnniche>
<http://www.wikidata.org/entity/Q28049285>	"Paul Ipsen"@da	"551"	"Paul Ipsen"	"Paul Ipsen"	<https://commons.wikimedia.org/wiki/Category:Paul_Ipsen>
<http://www.wikidata.org/entity/Q28049295>	"Sophus Vermehren"@da	"634"	"Sophus Vermehren"	"Sophus Vermehren"	<https://commons.wikimedia.org/wiki/Category:Sophus_Vermehren>
<http://www.wikidata.org/entity/Q28049297>	"Victor Jensen"@da	"269"	"Victor Jensen"		<https://commons.wikimedia.org/wiki/Category:Victor_Jensen_(painter)>
<http://www.wikidata.org/entity/Q28049604>	"Emilie Christensen"@da	"482"	"Emilie Christensen"	"Emilie Christensen (painter)"	<https://commons.wikimedia.org/wiki/Category:Emilie_Christensen_(painter)>
<http://www.wikidata.org/entity/Q28049622>	"Georg Raedel"@da	"2749"			<https://commons.wikimedia.org/wiki/Category:Georg_Raedel>
<http://www.wikidata.org/entity/Q28049631>	"H.J. Paludan"@da	"2746"		"H.J Paludan"	<https://commons.wikimedia.org/wiki/Category:H.J_Paludan>
<http://www.wikidata.org/entity/Q28049656>	"Holger Møller"@da	"439"	"Holger Møller"		<https://commons.wikimedia.org/wiki/Category:Holger_M%C3%B8ller>
<http://www.wikidata.org/entity/Q28049685>	"Juliaen, II Teniers"@da	"1864"	"Juliaen Teniers II"	"Juliaen Teniers II"	<https://commons.wikimedia.org/wiki/Category:Juliaen_Teniers_II>
<http://www.wikidata.org/entity/Q28056329>	"Joachim Ludwig Heinrich Daniel Bünsow"@da	"474"		"Joachim Ludwig Heinrich Daniel Bünsow"	<https://commons.wikimedia.org/wiki/Category:Joachim_Ludwig_Heinrich_Daniel_B%C3%BCnsow>
<http://www.wikidata.org/entity/Q28842981>	"Gabriel Fournier"@da	"1559"		"Gabriel Fournier"	<https://commons.wikimedia.org/wiki/Category:Gabriel_Fournier>
<http://www.wikidata.org/entity/Q297>	"Diego Velázquez"@da	"1897"	"Diego Velázquez"	"Diego Velázquez"	<https://commons.wikimedia.org/wiki/Diego_Vel%C3%A1zquez>
<http://www.wikidata.org/entity/Q301>	"El Greco"@da	"2482"	"El Greco"	"El Greco"	<https://commons.wikimedia.org/wiki/El_Greco>
<http://www.wikidata.org/entity/Q337599>	"Pasquale Rossi"@da	"1778"	"Pasquale de Rossi"	"Pasquale Rossi"	<https://commons.wikimedia.org/wiki/Category:Pasquale_Rossi>
<http://www.wikidata.org/entity/Q339270>	"Otto Marseus van Schrieck"@da	"775"	"Otto Marseus van Schrieck"	"Otto Marseus van Schrieck"	<https://commons.wikimedia.org/wiki/Otto_Marseus_van_Schrieck>
<http://www.wikidata.org/entity/Q343665>	"Alf Rolfsen"@da	"1708"		"Alf Rolfsen"	<https://commons.wikimedia.org/wiki/Category:Alf_Rolfsen>
<http://www.wikidata.org/entity/Q345605>	"Federico Zuccari"@da	"6027"	"Federico Zuccari"	"Federico Zuccari"	<https://commons.wikimedia.org/wiki/Category:Federico_Zuccari>
<http://www.wikidata.org/entity/Q471318>	"Maurice Estève"@da	"1544"		"Maurice Estève"	<https://commons.wikimedia.org/wiki/Category:Maurice_Est%C3%A8ve>
<http://www.wikidata.org/entity/Q472522>	"Balthasar van der Ast"@da	"1331"	"Balthasar van der Ast"	"Balthasar van der Ast"	<https://commons.wikimedia.org/wiki/Category:Balthasar_van_der_Ast>
<http://www.wikidata.org/entity/Q472562>	"Jacob Marrell"@da	"774"	"Jacob Marrel"	"Jacob Marrel"	<https://commons.wikimedia.org/wiki/Category:Jacob_Marrel>
<http://www.wikidata.org/entity/Q474934>	"Cornelis de Vos"@da	"1940"	"Cornelis de Vos"	"Cornelis de Vos"	<https://commons.wikimedia.org/wiki/Category:Cornelis_de_Vos>
<http://www.wikidata.org/entity/Q479806>	"Marcus Tuscher"@da	"1879"	"Carl Marcus Tuscher"	"Carl Marcus Tuscher"	<https://commons.wikimedia.org/wiki/Category:Carl_Marcus_Tuscher>
<http://www.wikidata.org/entity/Q489441>	"Felice Boselli"@da	"6046"	"Felice Boselli"	"Felice Boselli"	<https://commons.wikimedia.org/wiki/Category:Felice_Boselli>
<http://www.wikidata.org/entity/Q490709>	"Anders Andersen-Lundby"@da	"453"	"Anders Andersen-Lundby"	"Anders Andersen-Lundby"	<https://commons.wikimedia.org/wiki/Category:Anders_Andersen-Lundby>
<http://www.wikidata.org/entity/Q494275>	"Andrea Locatelli"@da	"740"	"Andrea Locatelli"	"Andrea Locatelli"	<https://commons.wikimedia.org/wiki/Category:Andrea_Locatelli>
<http://www.wikidata.org/entity/Q495008>	"Andrea Sacchi"@da	"1792"	"Andrea Sacchi"	"Andrea Sacchi"	<https://commons.wikimedia.org/wiki/Category:Andrea_Sacchi>
<http://www.wikidata.org/entity/Q354832>	"Pieter Claesz"@da	"1432"	"Pieter Claesz."	"Pieter Claesz."	<https://commons.wikimedia.org/wiki/Category:Pieter_Claesz.>
<http://www.wikidata.org/entity/Q355213>	"Gabriël Metsu"@da	"796"	"Gabriël Metsu"	"Gabriël Metsu"	<https://commons.wikimedia.org/wiki/Gabri%C3%ABl_Metsu>
